"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.visitsaltlake.com/","931","201","4.632","79.187","Fairly Easy","","","","","","","","","","en-us","7aa11e3978a56b6f238ead295ee1828b","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/state-national-parks/national-parks-monuments-recreation-areas/","564","90","6.267","72.374","Fairly Easy","","","","","","","","","","","e32466afbaac1512db3232ef7e436a0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/american-burgers/","113","21","5.381","65.864","Normal","","","","","","","","","","","e004b79b2de7e28efeae21f9b13a621e","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/black/","701","104","6.740","60.844","Normal","","","","","","","","","","","a696d4ce1a82242ed601abfd62ec8b63","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/hotels/near-convention-center/","105","21","5.000","74.457","Fairly Easy","","","","","","","","","","","88810faa3de5bcc015cd503ba6cd4e77","Indexable",""
"https://www.visitsaltlake.com/restaurants/group-dining/","121","23","5.261","69.351","Normal","","","","","","","","","","","d44d05578f38056fe600fb1ab72385d2","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/salt-of-the-earth/","873","126","6.929","65.683","Normal","","","","","","","","","","en-us","805a2945fa5cf4f4c4b17bcb21f1ace8","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/solitude-mountain-resort/lodging-at-solitude-mountain-resort/","218","45","4.844","61.435","Normal","","","","","","","","","","en-us","42444ccfedef7db1832c9fff1bcf64c0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/greenbike-slc/","445","71","6.268","77.661","Fairly Easy","","","","","","","","","","","24c0103f3ef41503b3bd09d901e94ee0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/quick-facts-stats/","979","226","4.332","83.186","Easy","","","","","","","","","","","cf423fda2d51e08951d22098e98688f3","Indexable",""
"https://www.visitsaltlake.com/members/","485","92","5.272","48.506","Hard","","","","","","","","","","","f004be576ba28164acdc196c732e2511","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/frequently-asked-questions/","1708","250","6.832","74.090","Fairly Easy","","","","","","","","","","","c489d0549b0eda6831b972eff0962883","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/lgbtq/lgbtq-businesses/","119","23","5.174","70.062","Fairly Easy","","","","","","","","","","en-us","175e9168bf913639d149d102a4458272","Indexable",""
"https://www.visitsaltlake.com/press-research/press-releases/","358","63","5.683","65.660","Normal","","","","","","","","","","","aa46ef200e749ba397806d0da84b74eb","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/shopping/","142","30","4.733","68.577","Normal","","","","","","","","","","en-us","b3580683f4ba7a56d24b3a5620adde12","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/south-valley/","163","29","5.621","73.970","Fairly Easy","","","","","","","","","","en-us","9010dc38044094f0b74f9065f63b695c","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/","1000","144","6.944","66.288","Normal","","","","","","","","","","en-us","be6fe4c1916f96e68daa115d6ce6c7fa","Indexable",""
