"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.visitsaltlake.com/","0","","","","https://www.visitsaltlake.com/","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/state-national-parks/national-parks-monuments-recreation-areas/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/american-burgers/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/black/","0","","","","https://www.visitsaltlake.com/plan-your-visit/community-diversity/black/","","Indexable",""
"https://www.visitsaltlake.com/includes/public/assets/shared/logo.svg","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/collections/virtuals/css/widget_template_custom_related_content.css","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/includes/public/managed/v_d47b3c8f_e260d78a/core/plugins/common/virtuals/css/reboot.css","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/hotels/near-convention-center/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/restaurants/group-dining/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/salt-of-the-earth/","0","","","","https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/salt-of-the-earth/","","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/solitude-mountain-resort/lodging-at-solitude-mountain-resort/","0","","","","https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/solitude-mountain-resort/lodging-at-solitude-mountain-resort/","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/greenbike-slc/","0","","","","https://www.visitsaltlake.com/plan-your-visit/transportation/greenbike-slc/","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/quick-facts-stats/","0","","","","https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/quick-facts-stats/","","Indexable",""
"https://www.visitsaltlake.com/members/","0","","","","https://www.visitsaltlake.com/members/","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/frequently-asked-questions/","0","","","","https://www.visitsaltlake.com/plan-your-visit/frequently-asked-questions/","","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/lgbtq/lgbtq-businesses/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/press-research/press-releases/","0","","","","https://www.visitsaltlake.com/press-research/press-releases/","","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/shopping/","0","","","","","","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/south-valley/","0","","","","https://www.visitsaltlake.com/neighborhoods/south-valley/","","Indexable",""
