"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://www.visitsaltlake.com/","1","America's Mountain City","23","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/state-national-parks/national-parks-monuments-recreation-areas/","1","National Parks, Monuments, & Recreation Areas","45","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/american-burgers/","1","American & Burgers","18","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/black/","1","Celebrate and Support Salt Lake’s Black Community","49","","0","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/hotels/near-convention-center/","1","Hotels Near the Salt Palace Convention Center","45","","0","Indexable",""
"https://www.visitsaltlake.com/restaurants/group-dining/","1","Group Dining","12","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/salt-of-the-earth/","1","Salt of the Earth","17","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/solitude-mountain-resort/lodging-at-solitude-mountain-resort/","1","Staying at Solitude Village or Nearby","37","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/greenbike-slc/","1","GREENbike SLC","13","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/quick-facts-stats/","1","Quick Facts and Stats About Salt Lake","37","","0","Indexable",""
"https://www.visitsaltlake.com/members/","1","The Power of Membership","23","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/frequently-asked-questions/","1","Frequently Asked","16","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/lgbtq/lgbtq-businesses/","1","LGBTQ Businesses","16","","0","Indexable",""
"https://www.visitsaltlake.com/press-research/press-releases/","1","Press Releases","14","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/shopping/","1","Avenues / Capitol Hill Shopping","31","","0","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/south-valley/","1","South Valley","12","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/","1","Cottonwood Heights","18","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/winter-activities/snow-tubing-sledding/","1","Snow Tubing & Sledding","22","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/millcreek/restaurants/","1","Millcreek Restaurants","21","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/restaurants/","1","Granary / Ballpark Restaurants","30","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/history-of-salt-lake/","1","The History of Salt Lake","24","","0","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/hotels-lodging/","1","Holladay / Murray Hotels & Lodging","34","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/historic-sites/historic-temple-square/","1","Visiting Historic Temple Square","31","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/public-transportation/","1","Public Transportation","21","","0","Indexable",""
"https://www.visitsaltlake.com/members/become-a-member/","1","The Power of Membership","23","","0","Indexable",""
"https://www.visitsaltlake.com/members/member-resources/member-listings/","1","Visit Salt Lake Member Directory","32","","0","Non-Indexable","noindex"
"https://www.visitsaltlake.com/midvalley/holladay-murray/bars/","1","Holladay / Murray Bars & Nightlife","34","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/","1","University / Foothill","21","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/brighton-resort/hotels-and-lodging-near-brighton/","1","Lodging at and Near Brighton","28","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/rafting-kayaking/","1","River & Outdoor Expeditions","27","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/","1","Granary District / Ballpark Area","32","","0","Indexable",""
"https://www.visitsaltlake.com/press-research/","1","Salt Lake Press & Research","26","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/","1","Getting Around","14","","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/central-city/hotels-lodging/","1","Central City Hotels & Lodging","29","","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/state-national-parks/utah-state-parks/","1","Utah State Parks","16","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/lgbtq/lgbtq-community-resources/","1","LGBTQ Community Resources","25","","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/community-resources/","1","Community Resources","19","","0","Indexable",""
