"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.visitsaltlake.com/","1","Whether you're visiting Salt Lake City for business or taking a vacation, we're here to help you plan the perfect trip. See our guides to hotels, things to do, events, transportation, restaurants and bars. Salt Lake City has all the urban amenities while being close to outdoor recreation and skiing.","300","1781","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/state-national-parks/national-parks-monuments-recreation-areas/","1","Utah is home to many national parks and monuments and a lot are near Salt Lake City. Find driving distance and details for historic sites and monuments.","152","947","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/american-burgers/","1","Discover the best American cuisine in Salt Lake City, UT and find a delicious selection of classic burger joints, local brewpubs and upscale restaurants.","153","918","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/black/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/hotels/near-convention-center/","1","Find accessible places to stay near Salt Palace Convention Center during your conference or meeting in downtown Salt Lake City, including hotels and suites.","156","964","Indexable",""
"https://www.visitsaltlake.com/restaurants/group-dining/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/salt-of-the-earth/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/solitude-mountain-resort/lodging-at-solitude-mountain-resort/","1","Stay at Solitude Mountain Resort with hotels, chalets, restaurants and ski-in ski-out options. Book the perfect base for your Utah skiing adventure.","148","898","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/greenbike-slc/","1","GREENbike offers an inexpensive alternative transportation and bike sharing program to get around Salt Lake City with 20 bike stations around downtown.","151","956","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/quick-facts-stats/","1","Find everything you need to know about Salt Lake City & Salt Lake County, including year-round weather, laws and transportation information.","140","877","Indexable",""
"https://www.visitsaltlake.com/members/","1","Discover the benefits of becoming a member of Visit Salt Lake, the Salt Lake Convention & Visitors Bureau.","106","654","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/frequently-asked-questions/","1","View the frequently asked questions for visitors to the Salt Lake region. Contact us for additional information.","112","674","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/lgbtq/lgbtq-businesses/","1","Explore LGBTQ-owned businesses in Salt Lake City! Shop local to support the people that make SLC such a welcoming and unique travel destination.","144","914","Indexable",""
"https://www.visitsaltlake.com/press-research/press-releases/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/shopping/","0","","0","0","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/south-valley/","1","Salt Lake City's South Valley is where you'll find amazing views all day long! Find a relaxing resort to call home base while exploring The Wasatch Mountains.","158","957","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/","1","Grab a drink at Porcupine Pub or hit the slopes at one of their world-class ski resorts. Learn why Cottonwood Heights should be your next adventure destination.","160","988","Indexable",""
