"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.visitsaltlake.com/","1","Salt Lake City Hotels, Restaurants, Events, Things to Do & Shopping","67","597","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/state-national-parks/national-parks-monuments-recreation-areas/","1","Utah National Parks & Monuments | Salt Lake City Area","53","491","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/american-burgers/","1","American & Burgers In Salt Lake City, UT | Local Restaurants","60","535","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/black/","1","Black","5","48","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/hotels/near-convention-center/","1","Hotels Near Salt Palace Convention Center In Salt Lake City","59","531","Indexable",""
"https://www.visitsaltlake.com/restaurants/group-dining/","1","Group Dining","12","115","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/salt-of-the-earth/","1","Salt of the Earth","17","144","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/solitude-mountain-resort/lodging-at-solitude-mountain-resort/","1","Solitude Mountain Resort Lodging | Hotels & Ski Stays","53","477","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/greenbike-slc/","1","Green Bike Salt Lake City | Bike Sharing Information","52","459","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/quick-facts-stats/","1","Quick Facts & Statistics About Salt Lake City, Utah","51","446","Indexable",""
"https://www.visitsaltlake.com/members/","1","Visit Salt Lake Members | Member Benefits","41","387","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/frequently-asked-questions/","1","Frequently Asked Questions | Visit Salt Lake","44","392","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/lgbtq/lgbtq-businesses/","1","LGBTQ Owned Businesses In Salt Lake City | Shop Local","53","497","Indexable",""
"https://www.visitsaltlake.com/press-research/press-releases/","1","Press Releases","14","137","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/shopping/","1","Avenues / Capitol Hill Shopping","31","280","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/south-valley/","1","Salt Lake City Neighborhoods | South Valley Things to Do","56","505","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/","1","Cottonwood Heights Utah | Restaurants, Hotels, & Events","55","505","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/winter-activities/snow-tubing-sledding/","1","Snow Tubing in Salt Lake City | Tubing & Sledding Hills","55","482","Indexable",""
"https://www.visitsaltlake.com/midvalley/millcreek/restaurants/","1","Restaurants in Millcreek, Utah | Breweries & Small Plates","57","505","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/restaurants/","1","Granary / Ballpark Restaurants","30","273","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/history-of-salt-lake/","1","The History of Salt Lake | Heritage, Museums & Skiing","53","478","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/hotels-lodging/","1","Places to Stay in Murray and Holladay | Salt Lake Hotels","56","496","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/historic-sites/historic-temple-square/","1","Visiting Historic Temple Square | Downtown Salt Lake City","57","518","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/public-transportation/","1","Salt Lake City Public Transportation | Trains & Buses","53","466","Indexable",""
"https://www.visitsaltlake.com/members/become-a-member/","1","Become a Member of Visit Salt Lake | Benefits & Rates","53","487","Indexable",""
"https://www.visitsaltlake.com/members/member-resources/member-listings/","1","Salt Lake City, Utah Tourism | Visit Salt Lake","46","395","Non-Indexable","noindex"
"https://www.visitsaltlake.com/midvalley/holladay-murray/bars/","1","Bars and Liquor Stores in Holladay and Murray | Nightlife","57","501","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/","1","Salt Lake City University & Foothills | Trails & Views","54","454","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/brighton-resort/hotels-and-lodging-near-brighton/","1","Lodging Near Brighton Resort | Hotels & Ski Stays in Utah","57","506","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/rafting-kayaking/","1","Salt Lake City River & Outdoor Expeditions","42","374","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/","1","Granary/Ballpark","16","150","Indexable",""
"https://www.visitsaltlake.com/press-research/","1","Salt Lake Media | Official Media Resource","41","370","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/transportation/","1","Transportation in Salt Lake | Public Transportation & Cars","58","511","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/central-city/hotels-lodging/","1","Central City Hotels & Lodging","29","260","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/state-national-parks/utah-state-parks/","1","Utah State Parks | Salt Lake City Outdoor Recreation","52","466","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/lgbtq/lgbtq-community-resources/","1","Salt Lake City LGBTQ Community Resources | Utah Pride","53","505","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/about-salt-lake/community-resources/","1","Salt Lake Community Resources | Relocation & Medical Service","60","561","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/seafood/","1","Seafood in Salt Lake City | Oysters, Ceviche & Sushi","52","456","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/restaurants/","1","Little Cottonwood Restaurants","29","272","Indexable",""
"https://www.visitsaltlake.com/events/submit-events/","1","Submit Your Event | Salt Lake City Events Calendar","50","452","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/events/","1","Little Cottonwood Events","24","224","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-rentals/","1","Ski Rentals & Snowboard Rentals | Salt Lake City","48","430","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/campgrounds-rv-parks/","1","Salt Lake City RV Parks & Campgrounds | Camping in Salt Lake","60","559","Indexable",""
"https://www.visitsaltlake.com/south-valley/sandy/hotels-lodging/","1","Sandy Hotels & Lodging","22","210","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/winter-activities/ice-skating/","1","Ice Skating in Salt Lake City | Outdoor and Indoor Rinks","56","485","Indexable",""
"https://www.visitsaltlake.com/members/member-resources/sign-up-for-email-newsletters/","1","Salt Lake City, Utah Tourism | Visit Salt Lake","46","395","Non-Indexable","noindex"
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/","1","Salt Lake City Skiing & Snowboarding | Ski Resorts","50","445","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/airport-fairgrounds/bars/","1","Airport / Fairgrounds Bars","26","230","Indexable",""
"https://www.visitsaltlake.com/south-valley/draper/shopping/","1","Draper Shopping","15","148","Indexable",""
"https://www.visitsaltlake.com/midvalley/millcreek/","1","Millcreek","9","81","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/hostels-universities/","1","Salt Lake City Hostels & Universities | Visit Salt Lake","55","465","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/university-foothill/bars/","1","The Best Nightlife & Bars Near The University of Utah","53","472","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/meetings-%26-conventions/5a9dab99cd9d441d5835b2d3/","1","Posts in Meetings & Conventions | The Salt Lake Scene","53","490","Indexable",""
"https://www.visitsaltlake.com/events/free-events/","1","Free Events & Activities in Salt Lake City, Utah","48","409","Indexable",""
"https://www.visitsaltlake.com/restaurants/distilleries/","1","Salt Lake City Microbreweries & Distilleries | SLC Nightlife","60","513","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/biking/cycling-the-city-nearby-canyons/","1","Cycling in Salt Lake City | Mountain, Road & Urban Biking","57","499","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/scenic-drives/","1","Salt Lake City Scenic Drives | Things to Do in Salt Lake","56","483","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-western-weekend/","1","A Western Weekend","17","181","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/transportation/","1","Salt Lake City Ski Bus | Resort Transportation Services","55","483","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/restaurants/","1","Places to Eat in Sugar House | Local Restaurants & Cuisine","58","521","Indexable",""
"https://www.visitsaltlake.com/restaurants/breweries-microbreweries/","1","Bars & Breweries in Salt Lake City | Insider's Guide","52","444","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/restaurants/","1","Restaurants in Cottonwood Heights | Thai, Burgers, Mexican","58","532","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/hiking/","1","Salt Lake City Hiking | Parks, Trails & Forest Preserves","56","482","Indexable",""
"https://www.visitsaltlake.com/about-us/green-meeting-standards/","1","Visit Salt Lake's Green Meeting Standards","41","374","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/hotels-lodging/","1","Avenues / Capitol Hill Hotels & Lodging","39","348","Indexable",""
"https://www.visitsaltlake.com/neighborhoods/southwest-valley/","1","Southwest Valley","16","154","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/community-diversity/pacific-islander/","1","Pacific Islander","16","137","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/indian/","1","Indian Restaurants in Salt Lake City | International Cuisine","60","514","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/events/","1","Granary / Ballpark Events","25","225","Indexable",""
"https://www.visitsaltlake.com/south-valley/sandy/shopping/","1","Sandy Shopping","14","142","Indexable",""
"https://www.visitsaltlake.com/about-us/brand-guidelines/","1","Branding Guidelines for Visit Salt Lake | Logos & Guidelines","60","526","Indexable",""
"https://www.visitsaltlake.com/blog/stories/category/things-to-do/5bca146a11f2ef203ebb4f29/","1","Posts in Things to Do | The Salt Lake Scene","43","386","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/adventure-sports/","1","Salt Lake City Adventure Sports | Outdoor Recreation","52","470","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/avenues-capitol-hill/events/","1","Avenues / Capitol Hill Events","29","257","Indexable",""
"https://www.visitsaltlake.com/blog/stories/","1","Stories","7","63","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/italian/","1","Italian","7","55","Indexable",""
"https://www.visitsaltlake.com/things-to-do/outdoor-recreation/recreation-centers/","1","Salt Lake City Recreation Centers | Go Carts & Ice","50","439","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/where-to-eat-in-salt-lake/","1","Where to Eat in Salt Lake","25","224","Indexable",""
"https://www.visitsaltlake.com/things-to-do/attractions/historic-sites/","1","Salt Lake City Historical Sites | Salt Lake City Attractions","60","503","Indexable",""
"https://www.visitsaltlake.com/midvalley/cottonwood-heights/events/","1","Events and Activities in Cottonwood Heights | Family Friendly","61","543","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/downtown/","1","Downtown Salt Lake City | Hotels, Restaurants, & Things to Do Downtown","70","648","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/restaurants/","1","Restaurants in Midvale, Utah | Bars, Diners & Breweries","55","487","Indexable",""
"https://www.visitsaltlake.com/midvalley/south-salt-lake/hotels-lodging/","1","Best Hotels in South Salt Lake, UT | Motels & Lodgings","54","482","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/bed-breakfasts-inns/","1","Bed & Breakfasts in Salt Lake City | Reviews & Maps","51","460","Indexable",""
"https://www.visitsaltlake.com/southwest-valley/hotels-lodging/","1","Southwest Valley Hotels & Lodging","33","310","Indexable",""
"https://www.visitsaltlake.com/blog/","1","Blog","4","39","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/a-quick-guide-to-fun-in-salt-lake/","1","Salt Lake City's Quick Guide to Must Do Attractions","51","453","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/granary-ballpark/shopping/","1","Granary / Ballpark Shopping","27","248","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/alta-ski-area/lodging-near-alta-ski-area/","1","Lodging Near Alta Ski Area | Hotels & Stays in Utah","51","451","Indexable",""
"https://www.visitsaltlake.com/salt-lake-city/sugar-house/hotels-lodging/","1","Places to Stay in Sugar House, Utah | Hotels & Lodging","54","484","Indexable",""
"https://www.visitsaltlake.com/mountain-resorts/little-cottonwood/","1","Little Cottonwood Canyon | Restaurants, Bars, Lodging, Recreation","65","587","Indexable",""
"https://www.visitsaltlake.com/things-to-do/skiing-snowboarding/ski-resorts/snowbird/snowbird-lift-tickets-and-passes/","1","Snowbird Lift Tickets & Ski Passes | Ski Salt Lake","50","437","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/special-package-deals/super-pass-hotels/","1","Salt Lake Ski Super Pass | Find Partner Hotels","46","409","Indexable",""
"https://www.visitsaltlake.com/things-to-do/nightlife-entertainment/social-activities/","1","Social Activities in Salt Lake City | Things to Do with Friends","63","531","Indexable",""
"https://www.visitsaltlake.com/events/annual-events/","1","Salt Lake City Annual Events | Sundance, X-DANCE & More","55","517","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/events/","1","Things to Do in Midvale, Utah | Events & Festivals","50","436","Indexable",""
"https://www.visitsaltlake.com/midvalley/holladay-murray/restaurants/","1","Restaurants in Murray and Holladay | Mexican, Sushi, Thai","57","512","Indexable",""
"https://www.visitsaltlake.com/members/member-events/visitor-experience-exchange/thank-you/","1","Thank You","9","94","Non-Indexable","noindex"
"https://www.visitsaltlake.com/things-to-do/shopping/farmers-markets/","1","Salt Lake City Farmers Markets | Local Produce & Goods","54","501","Indexable",""
"https://www.visitsaltlake.com/film/","1","Film","4","39","Indexable",""
"https://www.visitsaltlake.com/restaurants/cuisine-types/japanese/","1","Japanese Restaurants in Salt Lake City | International Cuisine","62","547","Indexable",""
"https://www.visitsaltlake.com/midvalley/midvale/","1","Welcome to Midvale, UT | Things to Do, Dining & Shopping","56","513","Indexable",""
"https://www.visitsaltlake.com/places-to-stay/resorts/","1","Salt Lake City Ski & Mountain Resorts | Maps & Reviews","54","493","Indexable",""
"https://www.visitsaltlake.com/press-research/photos-videos/","1","Photos and Videos of Salt Lake | Media Gallery & Library","56","498","Indexable",""
"https://www.visitsaltlake.com/blog/stories/post/spring-festivals-in-salt-lake/","1","Celebrate spring in style with these Salt Lake festivals","56","482","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/downtown-salt-lake/","1","Downtown Salt Lake","18","182","Indexable",""
"https://www.visitsaltlake.com/plan-your-visit/trip-ideas-itineraries/salt-lake-and-beyond/","1","Salt Lake and Beyond","20","191","Indexable",""
