URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/articles/post/from-peaks-to-plates-exploring-salt-lake-this-winter/",81,70,88,73,92,3228.98,6562.36,0.06,16,0,3228.98,0,0,0,1,0,0,1,1,1
"/articles/post/scenic-dining-in-salt-lake-city/",84,69,96,69,100,3432.36,7218.66,0.05,28,0,3432.36,0,1,1,1,0,0,1,0,1
"/blog/stories/post/6-epic-hike-or-bike-and-brew-adventures-in-salt-lake/",81,49,85,96,92,5103.6,9596.06,0.26,16,0,5103.6,0,0,1,1,0,0,1,1,1,1
"/blog/stories/post/elizabeth-kimball-wasatch-adaptive-sports/",70,40,87,54,100,3640.57,15070.99,0.53,50,0,6735.37,0,0,1,1,1,0,0,1,1,1
"/blog/stories/post/find-fun-in-salt-lake-city-at-the-gateway/",72,56,86,54,92,3637.66,4762.82,0.28,49,0,6301.62,0,0,1,1,1,0,0,1,1,1
"/blog/stories/post/four-under-the-radar-salt-lake-sports-teams-to-root-for/",80,45,91,92,92,4289.49,9534.74,0.41,27,0,4289.49,0,1,1,1,1,0,1,1,0,1
"/blog/stories/post/golfers-guide-to-picture-perfect-rounds/",68,45,84,50,92,4200.61,5995.02,0.38,36,0,7138.58,0,0,1,1,1,0,0,1,0,1
"/blog/stories/post/salt-lake-holiday-sports-lineup-know-before-you-go/",82,52,90,92,92,3169.89,7056.5,0.38,17,0,3169.89,0,0,1,1,1,0,1,1,0,1
"/blog/stories/post/salt-lakes-pride-preview/",69,45,89,50,92,3980.81,8183.57,0.38,41,0,5408.36,0,0,1,1,1,0,0,1,0,1
"/event/2026-banana-ball-series/conventions_45875/",76,65,83,54,100,3040.11,19936.44,0,50,0,5634.09,0,0,1,1,0,0,1,1,1
"/event/2026-melaleuca-national-convention/75458/",85,76,89,73,100,3120.98,4801.22,0,16,0,3120.98,0,1,1,1,0,0,1,1,1
"/event/2026-rocky-mountain-showcase/conventions_39458/",73,63,83,54,92,2739.52,19963.25,0,47,0,7830.14,0,0,1,1,0,0,1,1,1
"/event/2026-united-states-womens-disc-golf-championships/conventions_44876/",93,81,93,96,100,2662.65,4306.03,0,16,0,2662.65,0,1,1,1,0,1,1,1,1
"/event/2026-west-coast-invitational/conventions_42598/",78,67,79,73,92,3280.97,10753.99,0,45,0,4102.45,0,0,1,1,0,0,1,1,1
"/event/2026-world-molecular-imaging-congress/77830/",80,70,83,73,92,2584.41,11550.3,0.01,50,0,3751.52,0,0,1,1,0,0,1,1,1
"/event/2027-alec-annual-meeting/conventions_44845/",72,60,83,54,92,3663.3,21315.31,0.03,41,0,7805.59,0,0,1,1,0,0,1,1,1
"/event/2027-annual-meeting/conventions_46130/",91,77,89,96,100,2878.41,4846.56,0,17,0,2878.41,0,1,1,1,0,1,1,1,1
"/event/2027-cmha-annual-meeting-and-the-precast-show/conventions_45435/",75,63,83,54,100,3042.04,19573.13,0,50,0,7224.38,0,0,1,1,0,0,1,1,1
"/event/2027-national-specialty/conventions_44904/",73,64,83,54,92,3038.28,20607.03,0,43,0,6573.28,0,0,1,1,0,0,1,1,1
"/event/2027-precast-concrete-show/conventions_39583/",72,62,79,54,92,2889.53,21186.16,0,44,0,8222.09,0,0,1,1,0,0,1,1,1
"/event/2027-rootstech-conference/conventions_40122/",74,63,79,54,100,3041.12,19786.99,0.03,51,1,7073.32,0,0,1,1,0,0,1,1,1
"/event/2027-salt-lake-city-showdown-girls-qualifier/67564/",82,65,75,96,92,3777.69,11310.26,0.01,52,1,4288.68,0,0,1,1,0,1,1,1,1
"/event/2027-salt-lake-home-%26-garden-show/67191/",79,69,83,73,92,2888.32,12666.73,0.01,50,0,3816.77,0,0,1,1,0,0,1,1,1
"/event/2027-varsity-ac-celebration/conventions_45636/",72,60,82,54,92,3328.79,28566.17,0.03,43,0,10422.31,0,0,1,1,0,0,1,1,1
"/event/2030-tandem-meetings-transplantation-%26-cellular-therapy-meetings-of-astct-and-cibmtr/conventions_32630/",78,67,79,73,92,3243.09,12989.53,0,126,76,3946.04,0,0,1,1,0,0,1,1,1
